viewport	route	changed_ratio	mean_abs_channel_diff	threshold	pass
desktop	/en	0.001319%	0.001	1.00%	True
desktop	/zh-hant	0.001319%	0.001	1.00%	True
desktop	/en/privacy	0.000000%	0.000	0.50%	True
desktop	/zh-hant/privacy	0.000000%	0.000	0.50%	True
desktop	/en/services/seo-geo-growth-system	0.000000%	0.000	0.50%	True
desktop	/zh-hant/services/seo-geo-growth-system	0.000000%	0.000	0.50%	True
desktop	/en/methodology/journey-intelligence	0.122569%	0.051	0.50%	True
desktop	/zh-hant/methodology/journey-intelligence	0.122569%	0.051	0.50%	True
desktop	/en/glossary/geo	0.000000%	0.000	0.50%	True
desktop	/zh-hant/glossary/geo	0.109514%	0.062	0.50%	True
desktop	/en/publications/what-a-public-website-can-tell-you	0.139444%	0.058	0.50%	True
desktop	/zh-hant/publications/what-a-public-website-can-tell-you	0.248958%	0.119	0.50%	True
mobile	/en	0.000000%	0.000	1.00%	True
mobile	/zh-hant	0.005772%	0.003	1.00%	True
mobile	/en/privacy	0.000000%	0.000	0.50%	True
mobile	/zh-hant/privacy	0.000000%	0.000	0.50%	True
mobile	/en/services/seo-geo-growth-system	0.000000%	0.000	0.50%	True
mobile	/zh-hant/services/seo-geo-growth-system	0.000000%	0.000	0.50%	True
mobile	/en/methodology/journey-intelligence	0.000000%	0.000	0.50%	True
mobile	/zh-hant/methodology/journey-intelligence	0.000000%	0.000	0.50%	True
mobile	/en/glossary/geo	0.000000%	0.000	0.50%	True
mobile	/zh-hant/glossary/geo	0.000000%	0.000	0.50%	True
mobile	/en/publications/what-a-public-website-can-tell-you	0.000000%	0.000	0.50%	True
mobile	/zh-hant/publications/what-a-public-website-can-tell-you	0.000000%	0.003	0.50%	True
