kind	viewport	site	route	sha256
screenshot	desktop	baseline	/en	18ae22e96b945dba65b22d3891e93c2cdc92f26b92947d216fd44b29e609da3e
screenshot	desktop	baseline	/zh-hant	ed1c6fbe20bff21b1b05585db7c41082263cc5b46a225141dece4f61a1f0a083
screenshot	desktop	baseline	/en/privacy	d554e965b2b532604fcda024f3ccc0dac5bf996052feec7fd0c26ffd9af2fb8b
screenshot	desktop	baseline	/zh-hant/privacy	9455f2975194bcbe0cebbadab6e76d2e5a3030e396741e610e3a71e74d3e3219
screenshot	desktop	baseline	/en/services/seo-geo-growth-system	757c2432a10d2832862b07982ac419880a16a7a62037ae43c4ce9ba5fb711d40
screenshot	desktop	baseline	/zh-hant/services/seo-geo-growth-system	93cece5afddb81673b0afbd48b236ef634d70da3f1f8aa4199ec62c634be5abf
screenshot	desktop	baseline	/en/methodology/journey-intelligence	0f58e8312517c967469458c7d1e243404ac476a9694b5d07c4b27045188117c5
screenshot	desktop	baseline	/zh-hant/methodology/journey-intelligence	e55ce8d7ca9a8c9f4937a6ad35693dae9886cada1b214a7edb7ec2ff4fab9c99
screenshot	desktop	baseline	/en/glossary/geo	9d82fb6791472098e4f808cab7b8a41e06544d7fac1c89c2e3cea1bfba469d4b
screenshot	desktop	baseline	/zh-hant/glossary/geo	17cb752c8992a24f92faf29f96879385f5fe32c23509a13596a0ea1d4576c03f
screenshot	desktop	baseline	/en/publications/what-a-public-website-can-tell-you	f7ab188034880cb576b2e564cd5e245299edb55605b70ae003ef8e01f9ba963a
screenshot	desktop	baseline	/zh-hant/publications/what-a-public-website-can-tell-you	0edf407a9202c981e7be9a8c25b65aa78e0835d45fa11e646590d6dfe78c79ee
screenshot	desktop	candidate	/en	17f1fe07096e73427e71b60f17793cdd50d6a19fdc62bfa4d06f734da012ca9e
screenshot	desktop	candidate	/zh-hant	53c3176d31d0cb50cd55c56e6e8a731dbe421481f81247f6e1518d76bcbf3d17
